共搜索到词条726个:
abkai zang 天瘐 
baz'ar 市场 
hezoxe 合作社 
hvjuz'u 互助组 
piyaz'i 皮芽子 
piyalangz'i 慢坡 
ai/zhiye	啊 
makzhan	矮 
mushu/zhashu	鹌鹑 
monzhishambi	按摩 
zhenduken	暗暗的 
zhendu	暗地里 
zhuyen	袄 
zhakuun	八 
zhakuunggeri	八次 
zhakuunzhu	八十 
fesin/zhafakuu	把儿 
dabala/baliya/zhoo	罢了 
ezhelembi	霸占 
zhasihiya	白鹭 
nazhihiyan	白熊 
busumda/zhoktonda/buse(da)	百合 
akzhuhiyan	暴怒 
fithezhembi	爆裂 
fezhun	卑贱 
beging/bezhing	北京 
dagilambi/zhufeliyembi	备办 
meiherembi/zhazhambi	背 
zhubeshembi	背后议论 
shezhilembi	背诵 
zhoolambi	背着手 
zhibehun	被子 
anzhi/efehen	锛子 
bazhargi	彼岸 
zhizhun	笔画 
naranggi/zhiduzhi	毕竟 
fazhiran	壁墙 
zhechen	边(疆) 
banzhibun	编 
damzhan	扁担 
makzhanambi	变矮 
zhiramilan/zhimbi	变厚 
zhuhe	冰 
bolzhon	波浪 
amzhi	伯父 
zhaida	薄刀 
zhalarakuu	不间断 
zhechuhuri	不稳 
bazhi	不一会儿 
nihazhambi	擦破 
zhelmin	菜籽 
huzhu	槽 
zhergi	层 
zhushembi	饭菜变酸 
akzhanambi	打雷 
bakzha	定(住) 
banzhibungga	产生的 
bazhila	对岸 
bongzhonggi	粗人 
bozhilambi	典卖 
bulzhin	纯洁 
dahalzhi	长随 
dangnambi/orolombi/zhulefun	代替 
deizhiku	柴火 
dekzhimbi	成长 
dengzhan	灯 
dokzhihiyan	额角 
dorgolombi/kenzhe	发育不良 
emuchi/uzhuehi	第一 
ezheke	诚心' 
fokzhihiya/dambi/fokzhihiyan	粗鲁 
fondozhombi	穿孔 
fukzhin	创始 
fularambi/fularzhambi	发红 
fumerembi/suwaliyambi/suwaliyagan/zhambi	搀合 
fuzhurungga	端庄的 
gabula/hanzhambi	馋 
ganzhi/gemu	都 
gazharchilam/bi	打前站 
gelmerzh'embi	发亮光 
gilmarzhambi	发出光彩 
giyabanzhambi	错杂 
giyapinambi/zhibsimbi	重叠 
gokzhimbi/tobchalambi	扣结子 
heoshembi/zhelen	迟疑 
hezhembi	喘 
inzhekushembi	耻笑 
isinzhimbi	到来 
kambulzhambi/lumburazham	地发软 
kanzhambi	打背式骨 
kekerembi/zhohombi	打嗝儿 
kongzhosu	大肠下头 
mazhan	长披箭 
melzhembi	赌赛 
monzhimbi	搓 
muzhi	大麦 
ninzhuchi．	第六十 
niyalhuuzham	发晕 
nukchimbi/zhilidambi	发怒 
salzha	岔路 
sartacun/sartambi/tookan/tookanzhambi	耽误 
sezhen	车 
sezhesi	车夫 
sikseri/yamzbis'huun	傍晚 
sumbulzhvmbi	地返浆 
sunggelzhembi	颤 
sunzhachi	第五 
suzhe	缎 
tanzhurambi	祷告 
tenggelzhembi	颤动 
toohanzhambi	迟疑不决 
tulezhehembi	发福 
ulezhembi	倒塌 
urgen/zhushuru	尺寸 
uyuzhuchi	第九十 
uzhan	边端 
uzhan	地头 
uzhulambi	带头 
wakzhahuun	大腹便便 
wakzhanambi	肚子肥大 
wenzhendumbi	半醉 
wezhi	丛林 
yozhohoshom/bi	发奇痒 
zhabhambi	得便宜 
zhabumbi	答应 
zhafalan	场院 
zhafulan	打谷场 
zhahuudai	船 
zhai/zhaiehi/zhuwechi	第 
zhailambi	躲避 
zhakuuchi	第八 
zhakuunzhuchi	第八十 
zhalgari	长寿的 
zhamarshambi	吵闹不休 
zhangkuu	大 
zharhuu	豺狼 
zhazhilambi	堆长垛 
zhazhin	长垛 
zheksimbi	踌躇 
zhembi	吃 
